time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,SPURS,Wembanyama,Jump Ball Wembanyama vs. Towns: Tip to Hart,NA,Jump Ball Wembanyama vs. Towns: Tip to Hart,NA,0,0,0,0,0,0,0
11:45,1,KNICKS,Brunson,Brunson 26' 3PT Jump Shot (3 PTS) (Towns 1 AST),26,3PT Jump Shot,Towns,3,0,1,0,0,0,0
11:22,1,SPURS,Wembanyama,Wembanyama 15' Pullup Jump Shot (2 PTS),15,Pullup Jump Shot,NA,2,0,0,0,0,0,0
10:57,1,KNICKS,Brunson,MISS Brunson 7' Driving Layup,7,Driving Layup,NA,0,0,0,0,0,0,0
10:54,1,KNICKS,Hart,Hart REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:53,1,KNICKS,Anunoby,Anunoby 24' 3PT Jump Shot (3 PTS) (Hart 1 AST),24,3PT Jump Shot,Hart,3,0,1,0,0,0,0
10:31,1,SPURS,Wembanyama,MISS Wembanyama 7' Pullup Jump Shot,7,Pullup Jump Shot,NA,0,0,0,0,0,0,0
10:30,1,SPURS,Champagnie,Champagnie REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:29,1,SPURS,Vassell,MISS Vassell 26' 3PT Jump Shot,26,3PT Jump Shot,NA,0,0,0,0,0,0,0
10:27,1,SPURS,Castle,Castle REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:26,1,SPURS,Castle,MISS Castle 2' Putback Layup,2,Putback Layup,NA,0,0,0,0,0,0,0
10:25,1,KNICKS,Brunson,Brunson REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:18,1,KNICKS,Towns,MISS Towns 28' 3PT Jump Shot,28,3PT Jump Shot,NA,0,0,0,0,0,0,0
10:15,1,SPURS,Champagnie,Champagnie REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:06,1,SPURS,Wembanyama Lost Ball Turnover,Wembanyama Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:06,1,KNICKS,Bridges,Bridges STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
10:01,1,KNICKS,Anunoby,Anunoby 3' Running Layup (5 PTS) (Bridges 1 AST),3,Running Layup,Bridges,2,0,1,0,0,0,0
09:47,1,SPURS,Castle,MISS Castle 7' Cutting Layup Shot,7,Cutting Layup Shot,NA,0,0,0,0,0,0,0
09:47,1,KNICKS,Hart,Hart BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
09:45,1,SPURS,Castle,Castle REBOUND (Off:2 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
09:36,1,SPURS,Wembanyama,MISS Wembanyama 13' Turnaround Fadeaway Shot,13,Turnaround Fadeaway Shot,NA,0,0,0,0,0,0,0
09:33,1,KNICKS,Hart,Hart REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:29,1,KNICKS,Bridges,MISS Bridges 13' Running Pull-Up Jump Shot,13,Running Pull-Up Jump Shot,NA,0,0,0,0,0,0,0
09:24,1,SPURS,Champagnie,Champagnie REBOUND (Off:1 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
09:20,1,SPURS,Fox,MISS Fox 25' 3PT Running Jump Shot,25,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
09:19,1,SPURS,Vassell,Vassell REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
09:19,1,SPURS,Vassell Tip Layup Shot,Vassell Tip Layup Shot (2 PTS),NA,Tip Layup Shot,NA,2,0,0,0,0,0,0
08:56,1,KNICKS,Hart,Hart 2' Driving Finger Roll Layup (2 PTS) (Towns 2 AST),2,Driving Finger Roll Layup,Towns,2,0,1,0,0,0,0
08:36,1,SPURS,Fox,MISS Fox 25' 3PT Step Back Jump Shot,25,3PT Step Back Jump Shot,NA,0,0,0,0,0,0,0
08:32,1,KNICKS,Hart,Hart REBOUND (Off:1 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
08:29,1,KNICKS,Hart,MISS Hart 3' Running Layup,3,Running Layup,NA,0,0,0,0,0,0,0
08:29,1,SPURS,Wembanyama,Wembanyama BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
08:28,1,SPURS,Castle,Castle REBOUND (Off:2 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
08:21,1,SPURS,Wembanyama,Wembanyama 25' 3PT Running Jump Shot (5 PTS) (Castle 1 AST),25,3PT Running Jump Shot,Castle,3,0,1,0,0,0,0
07:52,1,KNICKS,Brunson,MISS Brunson 25' 3PT Pullup Jump Shot,25,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
07:52,1,SPURS,Champagnie,Champagnie BLOCK (1 BLK),NA,BLOCK,NA,0,0,0,0,1,0,0
07:52,1,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
07:51,1,KNICKS,Knicks,Knicks Turnover: Shot Clock (T#1),NA,TURNOVER,NA,0,0,0,0,0,1,0
07:43,1,SPURS,Fox,MISS Fox 24' 3PT Jump Shot,24,3PT Jump Shot,NA,0,0,0,0,0,0,0
07:40,1,KNICKS,Hart,Hart REBOUND (Off:1 Def:3),NA,REBOUND,NA,0,1,0,0,0,0,0
07:28,1,KNICKS,Towns,Towns 4' Driving Floating Jump Shot (2 PTS),4,Driving Floating Jump Shot,NA,2,0,0,0,0,0,0
07:28,1,SPURS,SPURS Timeout,SPURS Timeout: Regular (Full 1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
07:28,1,SPURS,Harper,SUB: Harper FOR Fox,NA,SUB,NA,0,0,0,0,0,0,0
07:28,1,SPURS,Johnson,SUB: Johnson FOR Champagnie,NA,SUB,NA,0,0,0,0,0,0,0
07:08,1,SPURS,Castle Bad Pass Turnover,Castle Bad Pass Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
07:08,1,KNICKS,Bridges,Bridges STEAL (2 STL),NA,STEAL,NA,0,0,0,1,0,0,0
06:59,1,KNICKS,Towns,Towns 1' Driving Finger Roll Layup (4 PTS) (Hart 2 AST),1,Driving Finger Roll Layup,Hart,2,0,1,0,0,0,0
06:38,1,SPURS,Castle,MISS Castle 27' 3PT Jump Shot,27,3PT Jump Shot,NA,0,0,0,0,0,0,0
06:37,1,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
06:37,1,SPURS,Johnson,Johnson L.B.FOUL (P1.T1) (S.Wright),NA,FOUL,NA,0,0,0,0,0,0,1
06:20,1,KNICKS,Towns,MISS Towns 4' Driving Layup,4,Driving Layup,NA,0,0,0,0,0,0,0
06:17,1,SPURS,Vassell,Vassell REBOUND (Off:1 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
06:15,1,KNICKS,Hart,Hart P.FOUL (P1.T1) (S.Foster),NA,FOUL,NA,0,0,0,0,0,0,1
06:15,1,KNICKS,Shamet,SUB: Shamet FOR Anunoby,NA,SUB,NA,0,0,0,0,0,0,0
06:07,1,SPURS,Castle,Castle 9' Pullup Jump Shot (2 PTS),9,Pullup Jump Shot,NA,2,0,0,0,0,0,0
05:55,1,KNICKS,Hart,MISS Hart 26' 3PT Jump Shot,26,3PT Jump Shot,NA,0,0,0,0,0,0,0
05:55,1,SPURS,Wembanyama,Wembanyama REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
05:47,1,SPURS,Johnson,MISS Johnson 2' Running Layup,2,Running Layup,NA,0,0,0,0,0,0,0
05:45,1,KNICKS,Hart,Hart REBOUND (Off:1 Def:4),NA,REBOUND,NA,0,1,0,0,0,0,0
05:33,1,KNICKS,Towns Bad Pass Turnover,Towns Bad Pass Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
05:33,1,SPURS,Wembanyama,Wembanyama STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
05:27,1,KNICKS,Hart,Hart S.FOUL (P2.T2) (J.Capers),NA,FOUL,NA,0,0,0,0,0,0,1
05:27,1,SPURS,Castle Free Throw,Castle Free Throw 1 of 2 (3 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
05:27,1,SPURS,Kornet,SUB: Kornet FOR Wembanyama,NA,SUB,NA,0,0,0,0,0,0,0
05:27,1,KNICKS,Anunoby,SUB: Anunoby FOR Hart,NA,SUB,NA,0,0,0,0,0,0,0
05:27,1,SPURS,Castle Free Throw,Castle Free Throw 2 of 2 (4 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
05:08,1,KNICKS,Shamet,MISS Shamet 26' 3PT Jump Shot,26,3PT Jump Shot,NA,0,0,0,0,0,0,0
05:07,1,KNICKS,Towns,Towns REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
05:04,1,KNICKS,Towns Fadeaway Jumper,MISS Towns Fadeaway Jumper,NA,Fadeaway Jumper,NA,0,0,0,0,0,0,0
05:03,1,SPURS,Castle,Castle REBOUND (Off:2 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
04:54,1,SPURS,Johnson,MISS Johnson 24' 3PT Jump Shot,24,3PT Jump Shot,NA,0,0,0,0,0,0,0
04:50,1,KNICKS,Bridges,Bridges REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
04:44,1,KNICKS,Brunson,MISS Brunson 17' Pullup Jump Shot,17,Pullup Jump Shot,NA,0,0,0,0,0,0,0
04:42,1,SPURS,Harper,Harper REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
04:36,1,SPURS,Vassell,MISS Vassell 25' 3PT Running Pull-Up Jump Shot,25,3PT Running Pull-Up Jump Shot,NA,0,0,0,0,0,0,0
04:33,1,KNICKS,Knicks,Knicks Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
04:33,1,SPURS,Johnson,Johnson L.B.FOUL (P2.T2) (S.Foster),NA,FOUL,NA,0,0,0,0,0,0,1
04:33,1,SPURS,Fox,SUB: Fox FOR Johnson,NA,SUB,NA,0,0,0,0,0,0,0
04:33,1,SPURS,Champagnie,SUB: Champagnie FOR Castle,NA,SUB,NA,0,0,0,0,0,0,0
04:15,1,KNICKS,Brunson Bad Pass Turnover,Brunson Bad Pass Turnover (P1.T3),NA,TURNOVER,NA,0,0,0,0,0,1,0
04:15,1,SPURS,Harper,Harper STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
04:13,1,KNICKS,Bridges,Bridges S.FOUL (P1.T3) (S.Wright),NA,FOUL,NA,0,0,0,0,0,0,1
04:13,1,SPURS,Harper Free Throw,Harper Free Throw 1 of 2 (1 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
04:13,1,KNICKS,McBride,SUB: McBride FOR Bridges,NA,SUB,NA,0,0,0,0,0,0,0
04:13,1,KNICKS,Robinson,SUB: Robinson FOR Towns,NA,SUB,NA,0,0,0,0,0,0,0
04:13,1,SPURS,Harper Free Throw,Harper Free Throw 2 of 2 (2 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
04:01,1,KNICKS,Brunson Bad Pass Turnover,Brunson Bad Pass Turnover (P2.T4),NA,TURNOVER,NA,0,0,0,0,0,1,0
04:01,1,SPURS,Kornet,Kornet STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
03:58,1,SPURS,Harper,Harper 3' Running Pull-Up Jump Shot (4 PTS),3,Running Pull-Up Jump Shot,NA,2,0,0,0,0,0,0
03:58,1,KNICKS,Shamet,Shamet S.FOUL (P1.T4) (J.Capers),NA,FOUL,NA,0,0,0,0,0,0,1
03:58,1,SPURS,Harper Free Throw,Harper Free Throw 1 of 1 (5 PTS),NA,Free Throw 1 of 1,NA,1,0,0,0,0,0,0
03:36,1,KNICKS,Brunson,MISS Brunson 27' 3PT Jump Shot,27,3PT Jump Shot,NA,0,0,0,0,0,0,0
03:32,1,SPURS,Kornet,Kornet REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
03:25,1,SPURS,Harper,Harper 24' 3PT Jump Shot (8 PTS) (Fox 1 AST),24,3PT Jump Shot,Fox,3,0,1,0,0,0,0
03:12,1,KNICKS,Shamet,Shamet 24' 3PT Jump Shot (3 PTS) (Brunson 1 AST),24,3PT Jump Shot,Brunson,3,0,1,0,0,0,0
03:01,1,SPURS,Champagnie,Champagnie 3PT Jump Shot (3 PTS) (Fox 2 AST),NA,3PT Jump Shot,Fox,3,0,1,0,0,0,0
02:47,1,KNICKS,Brunson,MISS Brunson 2' Driving Layup,2,Driving Layup,NA,0,0,0,0,0,0,0
02:45,1,SPURS,Fox,Fox REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
02:43,1,SPURS,Champagnie,MISS Champagnie 25' 3PT Running Jump Shot,25,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
02:43,1,KNICKS,Robinson,Robinson REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
02:33,1,SPURS,Harper,Harper P.FOUL (P1.T3) (S.Wright),NA,FOUL,NA,0,0,0,0,0,0,1
02:33,1,KNICKS,Knicks Timeout,Knicks Timeout: Regular (Reg.1 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
02:33,1,SPURS,Wembanyama,SUB: Wembanyama FOR Kornet,NA,SUB,NA,0,0,0,0,0,0,0
02:33,1,SPURS,Barnes,SUB: Barnes FOR Vassell,NA,SUB,NA,0,0,0,0,0,0,0
02:19,1,KNICKS,Brunson,MISS Brunson 13' Step Back Jump Shot,13,Step Back Jump Shot,NA,0,0,0,0,0,0,0
02:16,1,SPURS,Champagnie,Champagnie REBOUND (Off:1 Def:3),NA,REBOUND,NA,0,1,0,0,0,0,0
02:03,1,SPURS,Champagnie,Champagnie 24' 3PT Jump Shot (6 PTS) (Fox 3 AST),24,3PT Jump Shot,Fox,3,0,1,0,0,0,0
02:03,1,KNICKS,Shamet,Shamet L.B.FOUL (P2.PN) (S.Foster),NA,FOUL,NA,0,0,0,0,0,0,1
02:03,1,SPURS,Barnes Free Throw,MISS Barnes Free Throw 1 of 1,NA,Free Throw 1 of 1,NA,0,0,0,0,0,0,0
01:59,1,KNICKS,McBride,McBride REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
01:41,1,KNICKS,McBride,MISS McBride 26' 3PT Pullup Jump Shot,26,3PT Pullup Jump Shot,NA,0,0,0,0,0,0,0
01:37,1,SPURS,Harper,Harper REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
01:28,1,SPURS,Harper,Harper 7' Driving Floating Jump Shot (10 PTS) (Barnes 1 AST),7,Driving Floating Jump Shot,Barnes,2,0,1,0,0,0,0
01:27,1,KNICKS,Knicks Timeout,Knicks Timeout: Regular (Reg.2 Short 0),NA,TIMEOUT,NA,0,0,0,0,0,0,0
01:27,1,KNICKS,Alvarado,SUB: Alvarado FOR Anunoby,NA,SUB,NA,0,0,0,0,0,0,0
01:27,1,KNICKS,Bridges,SUB: Bridges FOR Brunson,NA,SUB,NA,0,0,0,0,0,0,0
01:27,1,KNICKS,Towns,SUB: Towns FOR Robinson,NA,SUB,NA,0,0,0,0,0,0,0
