time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,THUNDER,Holmgren,Jump Ball Holmgren vs. Wembanyama: Tip to Champagnie,NA,Jump Ball Holmgren vs. Wembanyama: Tip to Champagnie,NA,0,0,0,0,0,0,0
11:42,1,SPURS,Castle,Castle 26' 3PT Jump Shot (3 PTS) (Harper 1 AST),26,3PT Jump Shot,Harper,3,0,1,0,0,0,0
11:17,1,THUNDER,Hartenstein,MISS Hartenstein 9' Floating Jump Shot,9,Floating Jump Shot,NA,0,0,0,0,0,0,0
11:13,1,SPURS,Champagnie,Champagnie REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
11:04,1,THUNDER,Dort,Dort S.FOUL (P1.T1) (J.Goble),NA,FOUL,NA,0,0,0,0,0,0,1
11:04,1,SPURS,Wembanyama,Wembanyama Free Throw 1 of 2 (1 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
11:04,1,SPURS,Wembanyama,Wembanyama Free Throw 2 of 2 (2 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
10:46,1,THUNDER,Gilgeous-Alexander,Gilgeous-Alexander Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:46,1,SPURS,Harper,Harper STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
10:42,1,SPURS,Champagnie,MISS Champagnie 26' 3PT Running Jump Shot,26,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
10:37,1,SPURS,Wembanyama,Wembanyama REBOUND (Off:1 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:37,1,SPURS,Wembanyama,MISS Wembanyama Tip Layup Shot,NA,Tip Layup Shot,NA,0,0,0,0,0,0,0
10:36,1,SPURS,Wembanyama,Wembanyama REBOUND (Off:2 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:36,1,SPURS,Wembanyama,MISS Wembanyama Tip Layup Shot,NA,Tip Layup Shot,NA,0,0,0,0,0,0,0
10:35,1,SPURS,Wembanyama,Wembanyama REBOUND (Off:3 Def:0),NA,REBOUND,NA,0,1,0,0,0,0,0
10:35,1,SPURS,Wembanyama,Wembanyama Tip Layup Shot (4 PTS),NA,Tip Layup Shot,NA,2,0,0,0,0,0,0
10:21,1,THUNDER,Gilgeous-Alexander,MISS Gilgeous-Alexander 7' Pullup Jump Shot,7,Pullup Jump Shot,NA,0,0,0,0,0,0,0
10:17,1,SPURS,Harper,Harper REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:03,1,SPURS,Castle,Castle Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
10:03,1,THUNDER,Gilgeous-Alexander,Gilgeous-Alexander STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
09:54,1,THUNDER,Dort,MISS Dort 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
09:50,1,SPURS,Castle,Castle REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:46,1,THUNDER,Holmgren,Holmgren P.FOUL (P1.T2) (Z.Zarba),NA,FOUL,NA,0,0,0,0,0,0,1
09:33,1,SPURS,Harper,MISS Harper 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
09:30,1,THUNDER,Holmgren,Holmgren REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
09:24,1,SPURS,Harper,Harper P.FOUL (P1.T1) (J.Goble),NA,FOUL,NA,0,0,0,0,0,0,1
09:24,1,THUNDER,Caruso,SUB: Caruso FOR Hartenstein,NA,SUB,NA,0,0,0,0,0,0,0
09:08,1,THUNDER,Gilgeous-Alexander,MISS Gilgeous-Alexander 25' 3PT Step Back Jump Shot,25,3PT Step Back Jump Shot,NA,0,0,0,0,0,0,0
09:06,1,SPURS,Harper,Harper REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
08:58,1,SPURS,Wembanyama,Wembanyama Out of Bounds - Bad Pass Turnover Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
08:46,1,THUNDER,Caruso,Caruso 25' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 1 AST),25,3PT Jump Shot,Gilgeous-Alexander,3,0,1,0,0,0,0
08:27,1,SPURS,Champagnie,Champagnie 26' 3PT Step Back Jump Shot (3 PTS) (Castle 1 AST),26,3PT Step Back Jump Shot,Castle,3,0,1,0,0,0,0
08:14,1,THUNDER,Caruso,Caruso Bad Pass Turnover (P1.T2),NA,TURNOVER,NA,0,0,0,0,0,1,0
08:14,1,SPURS,Vassell,Vassell STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
08:09,1,SPURS,Harper,MISS Harper 27' 3PT Running Jump Shot,27,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
08:07,1,THUNDER,THUNDER,THUNDER Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
