time,quarter,team,player,play,distance,result,assist,points,rebounds,assists,steals,blocks,turnovers,fouls
12:00,1,SIXERS,Embiid,Jump Ball Embiid vs. Towns: Tip to Oubre Jr.,NA,Jump Ball Embiid vs. Towns: Tip to Oubre Jr.,NA,0,0,0,0,0,0,0
11:55,1,SIXERS,Oubre,Oubre Jr. 2' Driving Layup (2 PTS),2,Jr. 2' Driving Layup,NA,2,0,0,0,0,0,0
11:36,1,KNICKS,McBride,MISS McBride 20' Turnaround Jump Shot,20,Turnaround Jump Shot,NA,0,0,0,0,0,0,0
11:34,1,SIXERS,Embiid,Embiid REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
11:20,1,SIXERS,George,George 28' 3PT Jump Shot (3 PTS) (Embiid 1 AST),28,3PT Jump Shot,Embiid,3,0,1,0,0,0,0
11:04,1,KNICKS,Hart Lost Ball Turnover,Hart Lost Ball Turnover (P1.T1),NA,TURNOVER,NA,0,0,0,0,0,1,0
11:04,1,SIXERS,George,George STEAL (1 STL),NA,STEAL,NA,0,0,0,1,0,0,0
11:02,1,KNICKS,Brunson,Brunson S.FOUL (P1.T1) (J.Tiven),NA,FOUL,NA,0,0,0,0,0,0,1
11:02,1,SIXERS,Edgecombe Free Throw,Edgecombe Free Throw 1 of 2 (1 PTS),NA,Free Throw 1 of 2,NA,1,0,0,0,0,0,0
11:02,1,SIXERS,Edgecombe Free Throw,Edgecombe Free Throw 2 of 2 (2 PTS),NA,Free Throw 2 of 2,NA,1,0,0,0,0,0,0
10:52,1,KNICKS,Hart,MISS Hart 1' Driving Layup,1,Driving Layup,NA,0,0,0,0,0,0,0
10:49,1,SIXERS,Oubre,Oubre Jr. REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:45,1,SIXERS,George,MISS George 27' 3PT Running Jump Shot,27,3PT Running Jump Shot,NA,0,0,0,0,0,0,0
10:43,1,KNICKS,Hart,Hart REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
10:29,1,KNICKS,Brunson,MISS Brunson 11' Step Back Jump Shot,11,Step Back Jump Shot,NA,0,0,0,0,0,0,0
10:27,1,SIXERS,76ERS,76ERS Rebound,NA,REBOUND,NA,0,1,0,0,0,0,0
10:13,1,SIXERS,George,George 1' Cutting Dunk Shot (5 PTS) (Embiid 2 AST),1,Cutting Dunk Shot,Embiid,2,0,1,0,0,0,0
10:03,1,KNICKS,Hart,Hart 2' Driving Finger Roll Layup (2 PTS),2,Driving Finger Roll Layup,NA,2,0,0,0,0,0,0
09:38,1,SIXERS,Edgecombe,MISS Edgecombe 3PT Jump Shot,NA,3PT Jump Shot,NA,0,0,0,0,0,0,0
09:35,1,KNICKS,Hart,Hart REBOUND (Off:0 Def:2),NA,REBOUND,NA,0,1,0,0,0,0,0
09:27,1,SIXERS,Embiid,Embiid P.FOUL (P1.T1) (R.Acosta),NA,FOUL,NA,0,0,0,0,0,0,1
09:15,1,KNICKS,Hart,MISS Hart 25' 3PT Jump Shot,25,3PT Jump Shot,NA,0,0,0,0,0,0,0
09:12,1,SIXERS,Maxey,Maxey REBOUND (Off:0 Def:1),NA,REBOUND,NA,0,1,0,0,0,0,0
